days_until_expiry,selling_price,discount_pct,initial_quantity,is_promoted,spoilage_sensitivity,shelf_life_days,daily_demand,demand_variability,distribution_hours,storage_temp,temp_deviation,quality_grade,transaction_date,category,product_id,base_price,cost_price,units_sold
0,4.66,0.53,106,0,0.9,4,30,0.37,53.7,2.0,2.0,B,2024-12-27,Ready_to_Eat,REA_SOU_510,9.91,6.06,55
1,1.78,0.25,232,0,0.6,3,93,0.25,30.7,4.3,3.7,C,2024-12-05,Produce,PRO_BER_114,2.38,1.12,143
6,2.02,0.2,90,0,0.7,8,13,0.33,5.6,1.5,2.5,C,2024-11-27,Dairy,DAI_CHE_451,2.52,1.5,90
4,8.5,0.0,325,1,0.5,5,170,0.29,71.0,20.2,0.2,A,2024-11-16,Bakery,BAK_CAK_682,8.5,5.03,325
9,21.41,0.0,120,0,0.9,10,14,0.23,56.7,3.2,2.2,B,2024-12-14,Meat,MEA_TUR_554,21.41,13.72,112
11,3.04,0.0,440,0,0.6,17,32,0.11,38.7,6.0,2.0,A,2024-11-18,Produce,PRO_LET_575,3.04,2.03,360
21,2.25,0.0,433,1,0.7,30,35,0.33,60.3,4.1,0.1,B,2024-12-07,Dairy,DAI_MIL_253,2.25,1.51,433
4,6.31,0.0,384,0,0.75,5,143,0.34,71.6,1.5,2.5,B,2024-12-21,Deli,DEL_HAM_433,6.31,3.8,268
14,2.87,0.0,312,0,0.7,18,21,0.44,38.0,0.1,3.9,B,2024-11-11,Dairy,DAI_COT_424,2.87,1.35,218
11,11.02,0.0,47,0,0.75,14,1,0.17,28.7,2.0,2.0,A,2024-11-04,Deli,DEL_HUM_224,11.02,4.83,14
9,4.51,0.0,273,1,0.6,16,25,0.36,26.7,11.7,3.7,A,2024-12-27,Produce,PRO_BAN_173,4.51,3.05,157
2,2.71,0.0,390,0,0.5,3,269,0.24,19.4,22.0,2.0,A,2024-11-22,Bakery,BAK_BAG_471,2.71,1.86,390
7,5.26,0.0,294,0,0.75,12,46,0.3,65.5,6.3,2.3,B,2024-12-31,Deli,DEL_HUM_538,5.26,3.45,294
14,2.07,0.0,89,0,0.7,17,12,0.27,46.6,-1.0,5.0,B,2024-12-10,Dairy,DAI_SOU_723,2.07,1.11,62
11,3.91,0.0,255,0,0.6,13,35,0.33,36.1,7.1,0.9,B,2024-12-15,Produce,PRO_AVO_534,3.91,2.02,255
18,9.25,0.0,160,0,0.4,27,7,0.49,60.7,4.4,0.6,B,2024-11-26,Beverages,BEV_MIL_632,9.25,5.18,156
5,2.3,0.0,13,0,0.5,5,3,0.47,25.5,17.8,2.2,A,2024-11-11,Bakery,BAK_MUF_416,2.3,1.09,13
15,3.45,0.0,288,0,0.4,17,26,0.21,39.9,7.2,2.2,B,2024-11-16,Beverages,BEV_FRE_914,3.45,1.95,288
8,7.38,0.0,199,0,0.6,13,20,0.24,21.6,5.4,2.6,B,2024-11-14,Produce,PRO_TOM_973,7.38,4.94,133
3,10.9,0.0,235,0,0.75,7,76,0.49,34.5,3.1,0.9,A,2024-12-18,Deli,DEL_DIP_163,10.9,4.48,193
9,10.34,0.0,391,0,0.7,11,44,0.27,26.3,6.0,2.0,A,2024-12-25,Dairy,DAI_SOU_335,10.34,4.76,273
10,8.03,0.0,123,0,0.4,12,13,0.33,35.3,2.6,2.4,B,2024-12-02,Beverages,BEV_MIL_996,8.03,3.36,123
5,7.74,0.0,215,0,0.5,6,70,0.23,34.9,19.3,0.7,A,2024-12-10,Bakery,BAK_BAG_663,7.74,5.0,215
12,2.95,0.2,189,1,0.4,18,12,0.2,9.9,3.7,1.3,C,2024-12-23,Beverages,BEV_MIL_896,3.69,1.69,158
3,32.97,0.0,174,1,0.95,5,65,0.27,54.2,1.2,1.2,B,2024-12-08,Seafood,SEA_TIL_211,32.97,16.78,174
6,14.82,0.0,490,0,0.75,8,124,0.33,6.9,6.4,2.4,B,2024-11-16,Deli,DEL_DIP_311,14.82,7.19,343
2,4.26,0.0,20,1,0.5,4,16,0.33,25.7,23.0,3.0,B,2024-11-23,Bakery,BAK_MUF_382,4.26,2.49,14
13,4.52,0.0,195,0,0.6,17,17,0.11,28.6,7.0,1.0,B,2024-12-07,Produce,PRO_AVO_459,4.52,2.47,195
4,9.77,0.0,45,0,0.7,8,9,0.1,15.6,3.4,0.6,A,2024-12-12,Dairy,DAI_CHE_287,9.77,5.82,39
6,21.34,0.0,77,0,0.9,9,10,0.3,28.5,0.5,0.5,B,2024-11-04,Meat,MEA_GRO_141,21.34,9.34,46
5,17.08,0.0,347,0,0.75,7,69,0.21,52.5,6.4,2.4,B,2024-12-20,Deli,DEL_DIP_350,17.08,9.4,347
5,12.3,0.0,235,0,0.9,5,97,0.33,54.4,3.9,2.9,A,2024-12-22,Meat,MEA_SAU_183,12.3,6.2,235
9,7.97,0.0,417,0,0.4,13,40,0.39,37.9,2.1,2.9,A,2024-11-26,Beverages,BEV_FRE_679,7.97,5.06,417
5,11.63,0.0,42,1,0.5,7,6,0.38,48.7,15.3,4.7,A,2024-11-06,Bakery,BAK_PAS_382,11.63,5.37,33
6,3.19,0.0,83,0,0.7,9,11,0.47,37.6,2.9,1.1,A,2024-11-08,Dairy,DAI_SOU_723,3.19,1.42,78
8,4.68,0.0,457,0,0.75,12,54,0.15,30.3,4.8,0.8,B,2024-11-29,Deli,DEL_PRE_417,4.68,2.34,319
7,5.56,0.0,54,0,0.6,10,8,0.24,19.2,7.8,0.2,B,2024-11-10,Produce,PRO_TOM_607,5.56,3.52,54
2,16.2,0.0,450,0,0.75,4,236,0.39,70.3,4.0,0.0,A,2024-12-15,Deli,DEL_PRE_489,16.2,10.45,450
2,10.4,0.0,95,0,0.9,3,49,0.12,71.0,6.7,2.7,A,2024-12-16,Ready_to_Eat,REA_SAN_529,10.4,5.06,95
7,6.22,0.23,455,0,0.75,12,57,0.34,68.8,4.1,0.1,C,2024-11-19,Deli,DEL_HAM_977,8.08,3.77,455
2,10.5,0.0,224,0,0.75,3,103,0.31,70.4,6.2,2.2,A,2024-11-20,Deli,DEL_HUM_934,10.5,7.17,224
5,6.91,0.0,465,0,0.7,10,98,0.39,58.4,1.9,2.1,B,2024-12-22,Dairy,DAI_SOU_667,6.91,4.24,465
8,4.62,0.0,97,1,0.6,14,13,0.34,29.1,5.0,3.0,B,2024-12-17,Produce,PRO_LET_451,4.62,2.3,97
0,2.88,0.54,318,0,0.5,2,366,0.41,60.1,19.5,0.5,B,2024-12-19,Bakery,BAK_DON_190,6.26,2.64,318
13,9.11,0.0,163,1,0.7,13,16,0.11,47.2,3.1,0.9,A,2024-12-12,Dairy,DAI_COT_785,9.11,4.21,163
1,15.95,0.15,94,0,0.95,3,42,0.31,42.3,1.7,1.7,B,2024-11-27,Seafood,SEA_TIL_390,18.76,12.35,60
1,27.59,0.37,57,0,0.95,3,24,0.11,63.7,-2.1,2.1,C,2024-12-16,Seafood,SEA_COD_701,43.79,22.22,35
4,4.24,0.0,101,0,0.4,9,15,0.47,39.1,2.1,2.9,B,2024-12-05,Beverages,BEV_SMO_698,4.24,1.93,61
4,6.47,0.0,427,0,0.5,6,130,0.29,41.1,20.9,0.9,B,2024-11-26,Bakery,BAK_BRE_846,6.47,2.77,427
1,7.97,0.39,218,0,0.5,6,101,0.23,63.8,18.1,1.9,B,2024-12-01,Bakery,BAK_CAK_276,13.06,8.02,218
16,3.32,0.0,168,0,0.6,17,11,0.44,55.8,7.8,0.2,B,2024-11-28,Produce,PRO_GRA_146,3.32,2.09,168
5,10.32,0.0,431,0,0.95,5,123,0.1,29.2,-0.7,0.7,B,2024-12-24,Seafood,SEA_LOB_986,10.32,6.09,431
0,3.07,0.68,211,0,0.9,2,170,0.37,55.5,3.1,0.9,A,2024-12-19,Ready_to_Eat,REA_FRE_932,9.59,5.75,147
10,10.85,0.0,414,0,0.75,11,58,0.18,71.6,3.2,0.8,B,2024-11-07,Deli,DEL_HUM_168,10.85,5.49,414
0,4.55,0.66,83,0,0.9,1,144,0.36,9.8,6.5,2.5,B,2024-11-30,Ready_to_Eat,REA_WRA_145,13.38,6.97,83
2,22.71,0.0,415,1,0.95,2,301,0.2,43.0,-0.2,0.2,A,2024-11-20,Seafood,SEA_CRA_670,22.71,15.15,415
3,27.66,0.0,306,0,0.95,7,93,0.26,5.3,-1.9,1.9,A,2024-11-09,Seafood,SEA_COD_147,27.66,16.85,264
5,44.02,0.0,249,0,0.95,6,64,0.24,10.9,-1.3,1.3,B,2024-11-07,Seafood,SEA_TUN_324,44.02,22.64,249
2,4.05,0.26,291,0,0.9,5,71,0.3,62.5,5.7,1.7,A,2024-12-11,Ready_to_Eat,REA_SAL_907,5.47,2.35,206
19,8.43,0.0,208,0,0.4,28,15,0.49,36.2,5.3,0.3,B,2024-11-17,Beverages,BEV_COL_557,8.43,4.75,145
8,3.15,0.0,161,0,0.4,11,16,0.23,68.1,5.9,0.9,A,2024-12-12,Beverages,BEV_SMO_371,3.15,1.56,123
3,35.91,0.0,166,0,0.95,4,88,0.16,63.4,-1.7,1.7,A,2024-11-30,Seafood,SEA_SAL_667,35.91,23.89,166
14,6.27,0.0,76,0,0.7,21,2,0.22,8.0,3.1,0.9,A,2024-12-12,Dairy,DAI_SOU_542,6.27,4.28,24
2,9.44,0.0,432,0,0.5,4,214,0.33,29.1,20.4,0.4,B,2024-12-31,Bakery,BAK_PAS_928,9.44,6.16,378
6,16.17,0.0,14,0,0.75,9,3,0.3,24.7,5.6,1.6,A,2024-12-19,Deli,DEL_TUR_871,16.17,9.05,12
7,3.45,0.0,252,0,0.6,10,35,0.4,26.0,8.5,0.5,B,2024-12-21,Produce,PRO_TOM_820,3.45,2.24,243
10,5.06,0.0,486,0,0.6,11,77,0.24,34.6,8.1,0.1,A,2024-11-16,Produce,PRO_LET_883,5.06,3.18,486
4,4.08,0.0,207,0,0.5,7,66,0.25,11.0,20.9,0.9,B,2024-11-22,Bakery,BAK_CAK_690,4.08,2.1,144
10,6.54,0.0,98,0,0.75,11,8,0.39,54.8,4.5,0.5,B,2024-12-11,Deli,DEL_DIP_414,6.54,4.35,68
6,5.25,0.0,190,0,0.6,9,27,0.49,36.2,11.7,3.7,A,2024-11-09,Produce,PRO_BAN_625,5.25,3.61,133
3,34.78,0.19,48,0,0.95,4,19,0.35,15.8,-0.3,0.3,C,2024-12-09,Seafood,SEA_COD_761,42.94,29.49,48
7,11.83,0.0,214,0,0.95,7,55,0.36,69.7,1.6,1.6,B,2024-12-29,Seafood,SEA_COD_973,11.83,7.87,214
1,11.83,0.16,350,1,0.5,3,247,0.39,42.8,19.2,0.8,B,2024-12-26,Bakery,BAK_PAS_875,14.08,9.15,233
23,4.75,0.0,253,0,0.4,29,7,0.28,26.1,6.6,1.6,A,2024-12-12,Beverages,BEV_KOM_856,4.75,2.07,167
25,11.32,0.0,426,0,0.7,28,31,0.24,42.4,7.8,3.8,B,2024-12-20,Dairy,DAI_SOU_835,11.32,6.49,426
17,4.16,0.0,497,0,0.7,27,32,0.3,28.8,1.8,2.2,B,2024-12-04,Dairy,DAI_YOG_139,4.16,2.46,497
7,4.32,0.0,58,0,0.4,10,6,0.22,47.8,2.2,2.8,B,2024-11-05,Beverages,BEV_KOM_569,4.32,1.91,34
5,12.47,0.0,384,0,0.5,7,118,0.16,50.2,21.2,1.2,B,2024-12-28,Bakery,BAK_CAK_346,12.47,5.99,268
3,28.57,0.0,468,1,0.95,7,107,0.22,6.1,0.1,0.1,B,2024-11-30,Seafood,SEA_LOB_289,28.57,15.34,257
0,3.48,0.66,255,0,0.5,2,314,0.38,48.0,17.6,2.4,C,2024-11-16,Bakery,BAK_DON_660,10.25,6.44,255
1,28.32,0.16,211,0,0.95,2,147,0.47,6.5,-1.8,1.8,C,2024-11-13,Seafood,SEA_SAL_638,33.71,19.03,211
15,2.04,0.0,441,0,0.6,19,34,0.24,8.4,6.3,1.7,B,2024-12-05,Produce,PRO_APP_691,2.04,1.26,441
7,11.92,0.0,427,0,0.7,12,51,0.19,12.0,2.1,1.9,B,2024-12-20,Dairy,DAI_BUT_535,11.92,7.52,302
15,1.91,0.2,92,0,0.6,18,10,0.48,7.1,8.6,0.6,C,2024-12-24,Produce,PRO_APP_198,2.39,1.51,92
3,6.19,0.0,65,1,0.9,5,12,0.39,51.3,2.0,1.0,B,2024-12-12,Meat,MEA_POR_921,6.19,3.15,40
2,13.04,0.0,232,1,0.9,4,98,0.31,34.9,-0.3,1.3,A,2024-11-13,Meat,MEA_LAM_586,13.04,5.44,180
12,5.78,0.0,464,0,0.6,19,33,0.22,50.1,8.0,0.0,B,2024-11-23,Produce,PRO_BAN_951,5.78,3.44,464
8,1.39,0.0,363,0,0.6,12,50,0.22,57.4,8.4,0.4,A,2024-11-14,Produce,PRO_GRA_542,1.39,0.56,307
4,39.06,0.0,351,0,0.95,6,131,0.29,59.6,-2.8,2.8,B,2024-12-29,Seafood,SEA_CRA_264,39.06,23.74,351
9,7.62,0.23,418,0,0.75,12,74,0.39,65.2,5.5,1.5,C,2024-12-08,Deli,DEL_DIP_266,9.9,5.3,292
0,5.77,0.43,39,0,0.9,2,18,0.12,58.5,6.6,2.6,A,2024-12-25,Ready_to_Eat,REA_SOU_646,10.13,7.08,32
3,21.3,0.0,90,1,0.9,4,45,0.35,21.4,1.2,0.2,B,2024-12-08,Meat,MEA_GRO_345,21.3,12.56,90
4,11.54,0.15,54,1,0.75,8,7,0.44,46.5,2.8,1.2,C,2024-11-17,Deli,DEL_SAL_755,13.58,7.51,37
1,11.75,0.21,184,0,0.9,3,127,0.5,51.3,7.5,3.5,C,2024-11-03,Ready_to_Eat,REA_SOU_584,14.87,6.94,135
2,3.03,0.0,53,0,0.6,3,24,0.17,47.9,5.5,2.5,A,2024-11-30,Produce,PRO_TOM_415,3.03,1.69,37
1,13.29,0.0,258,1,0.9,2,173,0.17,18.8,4.3,0.3,A,2024-12-10,Ready_to_Eat,REA_SAN_911,13.29,8.29,126
19,8.35,0.0,226,0,0.7,28,12,0.2,42.9,4.7,0.7,B,2024-11-22,Dairy,DAI_COT_285,8.35,3.69,158
3,4.13,0.0,289,0,0.5,7,70,0.35,22.4,22.4,2.4,B,2024-11-27,Bakery,BAK_PAS_421,4.13,2.54,265
7,6.77,0.0,50,0,0.6,8,1,0.14,47.7,6.6,1.4,A,2024-12-16,Produce,PRO_APP_500,6.77,3.33,6
23,8.81,0.0,137,0,0.4,28,8,0.43,67.8,2.1,2.9,B,2024-11-26,Beverages,BEV_COL_729,8.81,4.33,137
13,9.66,0.0,384,0,0.4,16,24,0.21,63.0,2.1,2.9,B,2024-11-26,Beverages,BEV_FRE_563,9.66,5.47,268
6,8.46,0.0,149,0,0.75,10,13,0.49,22.0,2.8,1.2,A,2024-12-02,Deli,DEL_HAM_356,8.46,5.85,73
8,2.43,0.0,61,0,0.4,8,8,0.35,15.8,2.9,2.1,B,2024-11-05,Beverages,BEV_KOM_254,2.43,1.03,42
4,1.95,0.18,354,0,0.4,8,58,0.25,30.1,7.7,2.7,C,2024-12-23,Beverages,BEV_FRE_949,2.38,1.28,238
8,5.27,0.17,238,0,0.9,9,37,0.4,26.0,1.1,0.1,C,2024-11-07,Meat,MEA_BEE_928,6.35,3.67,238
2,3.83,0.26,488,0,0.9,5,119,0.4,12.6,8.2,4.2,A,2024-11-14,Ready_to_Eat,REA_SAL_179,5.18,3.47,281
0,7.37,0.53,111,0,0.9,2,67,0.35,63.8,1.1,2.9,C,2024-11-05,Ready_to_Eat,REA_FRE_798,15.69,8.44,77
6,28.66,0.0,233,1,0.95,6,53,0.24,57.2,0.9,0.9,A,2024-11-14,Seafood,SEA_SAL_858,28.66,14.25,233
2,6.78,0.0,471,0,0.6,3,256,0.29,6.5,5.7,2.3,B,2024-12-14,Produce,PRO_LET_820,6.78,2.76,471
5,16.66,0.0,17,0,0.95,7,3,0.17,20.6,-2.3,2.3,B,2024-12-17,Seafood,SEA_TUN_708,16.66,7.4,13
4,21.1,0.0,408,0,0.95,5,124,0.44,65.7,1.8,1.8,B,2024-12-09,Seafood,SEA_SAL_365,21.1,9.65,285
19,2.45,0.0,31,0,0.7,30,0,0.41,4.2,3.1,0.9,B,2024-12-06,Dairy,DAI_BUT_647,2.45,1.0,0
9,7.95,0.0,299,0,0.7,11,53,0.49,57.8,5.8,1.8,B,2024-11-03,Dairy,DAI_CRE_102,7.95,3.56,299
10,5.25,0.17,242,0,0.75,11,38,0.14,5.4,-0.8,4.8,C,2024-12-13,Deli,DEL_HUM_396,6.33,3.53,242
7,14.95,0.0,303,0,0.75,11,36,0.21,66.0,6.4,2.4,B,2024-11-04,Deli,DEL_HUM_912,14.95,6.69,194
4,8.89,0.0,70,0,0.95,4,22,0.2,32.7,1.5,1.5,B,2024-12-26,Seafood,SEA_CRA_338,8.89,5.22,70
20,7.6,0.0,27,1,0.4,21,4,0.49,9.5,5.9,0.9,B,2024-11-03,Beverages,BEV_MIL_220,7.6,4.95,27
5,1.44,0.0,449,0,0.6,8,77,0.4,7.1,8.5,0.5,A,2024-11-04,Produce,PRO_LET_356,1.44,0.9,449
7,19.99,0.0,33,0,0.9,9,6,0.32,68.2,1.6,0.6,B,2024-12-07,Meat,MEA_BEE_244,19.99,8.73,33
5,17.21,0.0,414,0,0.75,8,63,0.17,33.0,6.6,2.6,A,2024-11-08,Deli,DEL_HUM_753,17.21,11.48,273
15,3.96,0.0,212,0,0.7,27,6,0.14,59.9,3.9,0.1,B,2024-12-21,Dairy,DAI_YOG_604,3.96,2.56,82
8,18.49,0.0,208,0,0.9,8,34,0.21,7.6,4.2,3.2,A,2024-12-02,Meat,MEA_GRO_300,18.49,9.25,145
0,10.21,0.62,328,0,0.95,2,317,0.3,28.3,2.9,2.9,A,2024-11-03,Seafood,SEA_TUN_399,26.86,17.12,229
11,6.41,0.0,175,0,0.6,13,26,0.48,69.7,11.1,3.1,B,2024-11-16,Produce,PRO_LET_597,6.41,3.82,175
0,3.18,0.75,436,0,0.9,2,299,0.47,63.4,2.4,1.6,C,2024-11-29,Ready_to_Eat,REA_WRA_392,12.73,6.95,436
6,5.45,0.0,102,0,0.7,7,27,0.4,51.2,5.8,1.8,B,2024-12-04,Dairy,DAI_SOU_689,5.45,3.02,102
5,15.06,0.0,401,0,0.9,8,89,0.32,28.1,1.0,0.0,A,2024-12-15,Meat,MEA_POR_548,15.06,6.75,401
1,14.38,0.0,176,0,0.5,2,236,0.38,50.2,22.0,2.0,B,2024-12-28,Bakery,BAK_PAS_382,14.38,5.86,176
0,6.11,0.47,280,0,0.9,2,191,0.38,18.5,3.0,1.0,A,2024-11-21,Ready_to_Eat,REA_SAN_426,11.52,7.79,280
6,7.28,0.0,71,0,0.4,13,8,0.43,39.4,6.9,1.9,A,2024-12-22,Beverages,BEV_COL_556,7.28,4.63,56
1,3.6,0.26,267,0,0.75,4,103,0.41,64.4,2.7,1.3,A,2024-11-13,Deli,DEL_PRE_748,4.86,2.28,164
3,8.75,0.11,97,0,0.9,9,8,0.2,24.2,-0.1,1.1,A,2024-12-11,Meat,MEA_LAM_987,9.83,4.98,32
7,5.53,0.0,488,0,0.6,12,69,0.36,13.5,4.5,3.5,B,2024-12-14,Produce,PRO_APP_544,5.53,3.67,488
5,9.67,0.0,43,0,0.9,9,8,0.29,42.0,0.3,0.7,B,2024-11-28,Meat,MEA_LAM_666,9.67,6.01,28
1,16.96,0.15,152,1,0.95,2,102,0.15,27.4,-0.8,0.8,C,2024-12-06,Seafood,SEA_CRA_301,19.95,10.06,106
8,17.85,0.0,85,1,0.9,10,12,0.26,70.4,4.8,3.8,A,2024-11-10,Meat,MEA_SAU_206,17.85,7.93,83
3,10.41,0.0,127,1,0.5,5,57,0.25,28.8,20.1,0.1,A,2024-12-22,Bakery,BAK_DON_154,10.41,5.45,127
8,4.17,0.0,119,0,0.75,10,12,0.45,35.3,2.2,1.8,B,2024-11-26,Deli,DEL_PRE_801,4.17,2.17,92
3,21.73,0.0,308,0,0.9,6,66,0.5,35.2,2.8,1.8,B,2024-12-03,Meat,MEA_GRO_946,21.73,8.96,167
0,6.88,0.61,496,0,0.9,2,370,0.31,11.3,0.9,3.1,A,2024-12-27,Ready_to_Eat,REA_SOU_413,17.65,9.82,496
17,10.03,0.0,371,0,0.7,20,24,0.49,12.7,3.4,0.6,A,2024-11-04,Dairy,DAI_MIL_692,10.03,5.66,371
3,12.83,0.0,48,0,0.5,6,10,0.5,29.5,19.6,0.4,B,2024-11-15,Bakery,BAK_CRO_960,12.83,6.91,31
9,19.43,0.0,82,0,0.9,9,11,0.43,51.4,0.9,0.1,B,2024-11-12,Meat,MEA_TUR_416,19.43,10.44,82
20,10.67,0.0,62,0,0.7,20,5,0.11,51.5,4.2,0.2,B,2024-12-04,Dairy,DAI_YOG_536,10.67,6.63,62
4,3.81,0.0,50,1,0.6,4,12,0.38,42.7,5.6,2.4,A,2024-12-03,Produce,PRO_LET_813,3.81,1.8,48
1,11.09,0.35,389,1,0.9,5,116,0.43,36.6,3.3,0.7,B,2024-11-24,Ready_to_Eat,REA_SOU_387,17.06,7.31,141
8,11.41,0.21,153,0,0.9,9,25,0.38,39.4,2.9,1.9,C,2024-12-12,Meat,MEA_SAU_127,14.44,6.2,153
0,19.22,0.54,171,0,0.95,2,132,0.4,7.1,-1.1,1.1,A,2024-12-16,Seafood,SEA_TIL_857,41.78,25.42,171
